OBJECTID,EACODE,SecTer_in_180,LISA_I_secter,LISA_CL_secter,LISA_P_secter,MORAN_STD_secter,MORAN_LAG_secter
1,31001082,0,0.122066396,0,0.363,-0.430346669,-0.283646662
2,10203029,1,0.049247203,0,0.325,-0.173621657,-0.283646662
3,30101015,0,0.185198256,2,0.005,-0.430346669,-0.430346669
4,20604066,1,0.03014448,0,0.416,-0.173621657,-0.173621657
5,30332003,2,0.006906168,0,0.381,0.083103356,0.083103356
6,20603017,0,0.185198256,2,0.013,-0.430346669,-0.430346669
7,30902052,0,0.185198256,2,0.015,-0.430346669,-0.430346669
8,30901003,0,0.185198256,2,0.048,-0.430346669,-0.430346669
9,30334001,3,0.063137854,0,0.321,0.339828368,0.185793361
10,30307020,2,0.019706994,0,0.259,0.083103356,0.237138363
11,30108007,0,0.185198256,0,0.088,-0.430346669,-0.430346669
12,30806002,0,0.185198256,2,0.016,-0.430346669,-0.430346669
13,30709070,1,0.03014448,0,0.5,-0.173621657,-0.173621657
14,20909017,0,0.185198256,2,0.029,-0.430346669,-0.430346669
15,30302038,0,0.185198256,2,0.028,-0.430346669,-0.430346669
16,30708021,1,0.03014448,0,0.477,-0.173621657,-0.173621657
17,30701025,2,-0.000205402,0,0.417,0.083103356,-0.002471649
18,20702056,1,0.03014448,0,0.439,-0.173621657,-0.173621657
19,30710019,0,0.093130961,0,0.492,-0.430346669,-0.216409159
20,10502046,1,0.049247203,0,0.366,-0.173621657,-0.283646662
21,30102057,0,0.185198256,0,0.089,-0.430346669,-0.430346669
22,30555013,7,1.867946568,1,0.003,1.366728418,1.366728418
23,10220715,1,0.03014448,0,0.372,-0.173621657,-0.173621657
24,30305094,0,0.185198256,2,0.013,-0.430346669,-0.430346669
25,20902034,0,0.185198256,2,0.029,-0.430346669,-0.430346669
26,31201069,1,0.03014448,0,0.469,-0.173621657,-0.173621657
27,20807033,1,0.045002154,0,0.428,-0.173621657,-0.259196661
28,31001007,1,0.047973689,0,0.424,-0.173621657,-0.276311662
29,31105019,0,0.185198256,0,0.082,-0.430346669,-0.430346669
30,20637015,18,17.8693844,1,0.001,4.190703555,4.264053558
31,30901168,1,0.052430991,0,0.435,-0.173621657,-0.301984163
32,20602086,0,0.185198256,2,0.011,-0.430346669,-0.430346669
33,20801804,0,0.185198256,2,0.035,-0.430346669,-0.430346669
34,20601037,2,-0.0101616,0,0.412,0.083103356,-0.122276654
35,20614030,1,0.007857969,0,0.424,-0.173621657,-0.045259151
36,20703030,1,0.061982353,0,0.146,-0.173621657,-0.356996666
37,30303005,0,0.185198256,0,0.311,-0.430346669,-0.430346669
38,20705028,0,0.185198256,0,0.062,-0.430346669,-0.430346669
39,30704006,1,0.024572852,0,0.476,-0.173621657,-0.14153103
40,30536007,11,5.729457241,1,0.001,2.393628468,2.393628468
41,30538005,11,5.729457241,1,0.001,2.393628468,2.393628468
42,20402017,1,0.034601782,0,0.373,-0.173621657,-0.199294158
43,30402044,5,0.665496043,0,0.058,0.853278393,0.779928389
44,30201021,0,0.185198256,2,0.014,-0.430346669,-0.430346669
45,10505032,0,0.185198256,2,0.035,-0.430346669,-0.430346669
46,20120702,1,0.03014448,0,0.48,-0.173621657,-0.173621657
47,10304009,1,0.043516386,0,0.315,-0.173621657,-0.250639161
48,20803018,0,0.185198256,2,0.006,-0.430346669,-0.430346669
49,30802021,0,0.185198256,2,0.043,-0.430346669,-0.430346669
50,30203019,0,0.185198256,2,0.015,-0.430346669,-0.430346669
51,30602022,0,0.171388162,2,0.045,-0.430346669,-0.398256043
52,30805068,0,0.185198256,2,0.029,-0.430346669,-0.430346669
53,30103044,0,0.185198256,2,0.024,-0.430346669,-0.430346669
54,30804019,0,0.185198256,2,0.021,-0.430346669,-0.430346669
55,30533005,12,7.024373569,1,0.002,2.65035348,2.65035348
56,20610036,0,0.185198256,2,0.026,-0.430346669,-0.430346669
57,31003023,0,0.185198256,2,0.026,-0.430346669,-0.430346669
58,20901801,2,-0.001627716,0,0.376,0.083103356,-0.019586649
59,20603095,2,-0.005894658,0,0.364,0.083103356,-0.070931652
60,30534015,12,6.910971564,1,0.001,2.65035348,2.607565978
61,30301009,1,0.011041756,0,0.469,-0.173621657,-0.063596652
62,30902802,0,0.185198256,2,0.006,-0.430346669,-0.430346669
63,20105016,1,0.03014448,0,0.43,-0.173621657,-0.173621657
64,30702010,2,0.003350383,0,0.43,0.083103356,0.040315853
65,20820704,1,0.03014448,0,0.468,-0.173621657,-0.173621657
66,10506006,0,0.153632326,0,0.129,-0.430346669,-0.356996666
67,20112801,0,0.185198256,0,0.16,-0.430346669,-0.430346669
68,30210020,0,0.185198256,2,0.035,-0.430346669,-0.430346669
69,30507018,4,0.325245901,0,0.179,0.59655338,0.545208378
70,20404033,0,0.185198256,0,0.092,-0.430346669,-0.430346669
71,20205020,0,0.148371338,0,0.246,-0.430346669,-0.344771665
72,20606046,1,0.03014448,0,0.452,-0.173621657,-0.173621657
73,30206021,0,0.185198256,0,0.062,-0.430346669,-0.430346669
74,30405009,0,0.169415291,0,0.073,-0.430346669,-0.393671668
75,30806035,0,0.185198256,2,0.023,-0.430346669,-0.430346669
76,20113007,0,0.185198256,2,0.008,-0.430346669,-0.430346669
77,10502012,1,0.037573317,0,0.497,-0.173621657,-0.216409159
78,30102014,0,0.185198256,0,0.055,-0.430346669,-0.430346669
79,30341001,2,0.006906168,0,0.407,0.083103356,0.083103356
80,30304804,0,0.153632326,0,0.164,-0.430346669,-0.356996666
81,30503024,0,0.185198256,2,0.017,-0.430346669,-0.430346669
82,30104012,0,0.185198256,2,0.038,-0.430346669,-0.430346669
83,20904014,0,0.185198256,2,0.013,-0.430346669,-0.430346669
84,30335004,3,0.098034831,0,0.249,0.339828368,0.288483365
85,31002808,,,,,,
86,10205011,0,0.185198256,2,0.03,-0.430346669,-0.430346669
87,20801044,0,0.185198256,2,0.015,-0.430346669,-0.430346669
88,20421807,1,0.03014448,0,0.4,-0.173621657,-0.173621657
89,10407008,1,0.037573317,0,0.499,-0.173621657,-0.216409159
90,20660001,19,18.55002654,1,0.001,4.447428567,4.170955477
91,30306018,0,0.116147785,0,0.353,-0.430346669,-0.269893537
92,30705021,1,0.03014448,0,0.405,-0.173621657,-0.173621657
93,20607013,0,0.185198256,2,0.018,-0.430346669,-0.430346669
94,30108032,0,0.185198256,0,0.15,-0.430346669,-0.430346669
95,30707019,0,0.185198256,0,0.104,-0.430346669,-0.430346669
96,31106022,0,0.185198256,0,0.095,-0.430346669,-0.430346669
97,30552013,11,5.729457241,1,0.001,2.393628468,2.393628468
98,20655028,13,7.456012345,1,0.001,2.907078492,2.564778476
99,30101071,0,0.185198256,2,0.04,-0.430346669,-0.430346669
100,20603073,2,0.006906168,0,0.401,0.083103356,0.083103356
101,20901032,1,0.045002154,0,0.497,-0.173621657,-0.259196661
102,30901059,0,0.185198256,2,0.006,-0.430346669,-0.430346669
103,30501023,1,0.023776905,0,0.493,-0.173621657,-0.136946655
104,10536007,3,0.11548332,0,0.252,0.339828368,0.339828368
105,20702905,0,0.185198256,0,0.061,-0.430346669,-0.430346669
106,20112032,0,0.185198256,0,0.079,-0.430346669,-0.430346669
107,30710075,1,0.03014448,0,0.408,-0.173621657,-0.173621657
108,30207034,0,0.185198256,2,0.027,-0.430346669,-0.430346669
109,10501053,0,0.171388162,2,0.039,-0.430346669,-0.398256043
110,31201125,0,0.185198256,2,0.028,-0.430346669,-0.430346669
111,30501018,1,0.03014448,0,0.454,-0.173621657,-0.173621657
112,30801073,0,0.141005954,0,0.311,-0.430346669,-0.327656664
113,30802034,0,0.185198256,0,0.091,-0.430346669,-0.430346669
114,31001063,1,0.03014448,0,0.409,-0.173621657,-0.173621657
115,20604047,0,0.185198256,2,0.011,-0.430346669,-0.430346669
116,31202074,0,0.163102105,0,0.177,-0.430346669,-0.379001667
117,30203032,0,0.185198256,2,0.035,-0.430346669,-0.430346669
118,30902017,0,0.185198256,2,0.025,-0.430346669,-0.430346669
119,30109021,0,0.157578067,0,0.266,-0.430346669,-0.366165416
120,30508008,2,0.062909781,1,0.041,0.083103356,0.757006513
121,30709035,0,0.185198256,2,0.02,-0.430346669,-0.430346669
122,30805081,2,0.006906168,0,0.362,0.083103356,0.083103356
123,10301009,0,0.185198256,0,0.16,-0.430346669,-0.430346669
124,20303034,1,0.03014448,0,0.487,-0.173621657,-0.173621657
125,20702037,0,0.153632326,0,0.156,-0.430346669,-0.356996666
126,10534011,3,0.11548332,0,0.189,0.339828368,0.339828368
127,20501014,2,-0.014428542,0,0.434,0.083103356,-0.173621657
128,30306108,2,0.006906168,0,0.377,0.083103356,0.083103356
129,20406013,0,0.163102105,0,0.16,-0.430346669,-0.379001667
130,20704035,0,0.185198256,2,0.014,-0.430346669,-0.430346669
131,31201034,1,0.03014448,0,0.44,-0.173621657,-0.173621657
132,31002021,1,0.03014448,0,0.402,-0.173621657,-0.173621657
133,30548016,11,5.729457241,1,0.001,2.393628468,2.393628468
134,20807014,1,0.041287735,0,0.431,-0.173621657,-0.23780291
135,30701901,2,0.001216912,0,0.436,0.083103356,0.014643352
136,30901149,1,0.03014448,0,0.392,-0.173621657,-0.173621657
137,20602051,1,0.037573317,0,0.491,-0.173621657,-0.216409159
