householdid,centroidid,wealthscorecont,wealthquintile,hhwt001
MW200000000001,MW2000031,.35210001,4,346.47119
MW200000000002,MW2000101,-.82560003,1,279.84564
MW200000000003,MW2000045,-.87669998,1,510.77994
MW200000000004,MW2000270,-.81050003,1,307.52267
MW200000000005,MW2000096,-.96869999,1,285.61664
MW200000000006,MW2000113,2.152,5,289.56064
MW200000000007,MW2000078,1.8713,5,274.92242
MW200000000008,MW2000329,2.4301,5,333.64093
MW200000000009,MW2000103,-.66070002,2,335.07327
MW200000000010,MW2000295,-.98390001,1,284.52234
MW200000000011,MW2000188,.048599999,4,320.31561
MW200000000012,MW2000312,-.70910001,2,258.31906
MW200000000013,MW2000329,.1069,4,333.64093
MW200000000014,MW2000070,1.1605999,5,264.61179
MW200000000015,MW2000228,-.85399997,1,269.2019
MW200000000016,MW2000057,-.62440002,2,456.84665
MW200000000017,MW2000108,-.69989997,2,267.20358
MW200000000018,MW2000098,.25459999,4,297.68149
MW200000000019,MW2000056,-.72850001,2,271.13306
MW200000000020,MW2000365,.3398,4,265.11691
MW200000000021,MW2000261,.098399997,4,266.92969
MW200000000022,MW2000172,-.74540001,2,329.75549
MW200000000023,MW2000138,.59039998,4,288.02451
MW200000000024,MW2000078,1.1517,5,274.92242
MW200000000025,MW2000144,-.83130002,1,277.4538
MW200000000026,MW2000383,-.26109999,3,449.6441
MW200000000027,MW2000262,.4208,4,330.51529
MW200000000028,MW2000344,.2474,4,466.05725
MW200000000029,MW2000244,-.3118,3,277.40927
MW200000000030,MW2000108,-.047600001,4,267.20358
MW200000000031,MW2000111,-.86440003,1,504.72769
MW200000000032,MW2000143,-.98390001,1,268.25439
MW200000000033,MW2000184,-.49720001,3,282.53647
MW200000000034,MW2000348,3.8740001,5,277.54489
MW200000000035,MW2000081,-.52539998,2,518.88757
MW200000000036,MW2000392,-.81129998,1,332.92535
MW200000000037,MW2000014,.97009999,5,264.60577
MW200000000038,MW2000338,-.74089998,2,466.99878
MW200000000039,MW2000394,-.1682,4,276.77042
MW200000000040,MW2000101,-.45539999,3,279.84564
