SOURCE_ID,PovertyEBK,geoDA_esti,P_VALUE,ASSOC_CAT
0,72.428818,0,0.254,Not Significant
1,94.176613,1,0.002,High-Low
2,78.649628,0,0.824,Not Significant
3,54.340759,1,0.058,Low-Low
4,94.777908,2,0.43,Not Significant
5,72.860756,0,0.12,Not Significant
6,90.558266,0,0.002,High-Low
7,81.77507,0,0.136,Not Significant
8,94.17997,3,0.264,Not Significant
9,90.904152,2,0.592,Not Significant
10,67.336609,0,0.036,Low-Low
11,81.818222,0,0.16,Not Significant
12,78.802078,1,0.37,Not Significant
13,67.664223,0,0.042,Low-Low
14,83.362961,0,0.04,High-Low
15,95.916183,1,0.006,High-Low
16,71.316643,2,0.994,Not Significant
17,57.137249,1,0.056,Low-Low
18,86.959953,0,0.014,High-Low
19,95.179482,1,0.002,High-Low
20,69.32309,0,0.038,Low-Low
21,96.711143,7,0.004,High-High
22,95.581795,1,0.01,High-Low
23,82.254196,0,0.134,Not Significant
24,74.137695,0,0.226,Not Significant
25,81.485954,1,0.27,Not Significant
26,65.465027,1,0.09,Low-Low
27,81.312515,1,0.252,Not Significant
28,64.311729,0,0.034,Low-Low
29,100,18,0.002,High-High
30,92.475136,1,0.006,High-Low
31,54.007977,0,0.008,Low-Low
32,64.019348,0,0.02,Low-Low
33,68.077339,2,0.564,Not Significant
34,88.637741,1,0.014,High-Low
35,67.857018,1,0.09,Low-Low
36,83.767738,0,0.198,Not Significant
37,70.679085,0,0.066,Low-Low
38,74.258949,1,0.798,Not Significant
39,100,11,0.002,High-High
40,99.976135,11,0.002,High-High
41,73.643661,1,0.574,Not Significant
42,98.887032,5,0.002,High-High
43,78.871857,0,0.89,Not Significant
44,89.295181,0,0.002,High-Low
45,82.995949,1,0.176,Not Significant
46,97.611977,1,0.006,High-Low
47,60.509197,0,0.006,Low-Low
48,91.990433,0,0.002,High-Low
49,70.688431,0,0.084,Low-Low
50,76.708153,0,0.46,Not Significant
51,92.505463,0,0.002,High-Low
52,75.265488,0,0.154,Not Significant
53,92.799538,0,0.004,High-Low
54,99.303078,12,0.002,High-High
55,55.14307,0,0.004,Low-Low
56,65.961174,0,0.038,Low-Low
57,82.258202,2,0.628,Not Significant
58,54.013218,2,0.482,Not Significant
59,100,12,0.002,High-High
60,85.898712,1,0.232,Not Significant
61,90.540947,0,0.002,High-Low
62,81.957367,1,0.33,Not Significant
63,71.899254,2,0.262,Not Significant
64,81.119133,1,0.06,High-Low
65,88.895332,0,0.008,High-Low
66,68.402847,0,0.056,Low-Low
67,70.632545,0,0.06,Low-Low
68,95.721008,4,0.01,High-High
69,42.885857,0,0.002,Low-Low
70,66.42601,0,0.038,Low-Low
71,64.908279,1,0.14,Not Significant
72,89.300026,0,0.004,High-Low
73,88.394196,0,0.002,High-Low
74,80.47776,0,0.292,Not Significant
75,67.193138,0,0.042,Low-Low
76,85.691696,1,0.086,High-Low
77,67.279091,0,0.03,Low-Low
78,94.627449,2,0.47,Not Significant
79,90.861404,0,0.004,High-Low
80,79.459549,0,0.578,Not Significant
81,72.473892,0,0.122,Not Significant
82,70.139854,0,0.084,Low-Low
83,94.244537,3,0.092,High-High
85,86.859474,0,0.006,High-Low
86,62.439056,0,0.022,Low-Low
87,87.488655,1,0.084,High-Low
88,89.982956,1,0.01,High-Low
89,100,19,0.002,High-High
90,92.674629,0,0.002,High-Low
91,84.054939,1,0.074,High-Low
92,60.658878,0,0.014,Low-Low
93,79.407005,0,0.366,Not Significant
94,86.843834,0,0.002,High-Low
95,72.631279,0,0.124,Not Significant
96,99.824913,11,0.002,High-High
97,99.807755,13,0.002,High-High
98,73.943855,0,0.146,Not Significant
99,73.109322,2,0.318,Not Significant
100,80.203926,1,0.392,Not Significant
101,88.050995,0,0.002,High-Low
102,95.327766,1,0.042,High-Low
103,98.83532,3,0.022,High-High
104,60.466061,0,0.004,Low-Low
105,65.745934,0,0.024,Low-Low
106,97.87056,1,0.002,High-Low
107,66.693283,0,0.032,Low-Low
108,74.052811,0,0.166,Not Significant
109,84.994263,0,0.012,High-Low
110,95.055763,1,0.016,High-Low
111,86.399414,0,0.01,High-Low
112,93.123131,0,0.002,High-Low
113,74.80307,1,0.588,Not Significant
114,70.883682,0,0.072,Low-Low
115,75.135536,0,0.378,Not Significant
116,78.941254,0,0.758,Not Significant
117,86.385086,0,0.006,High-Low
118,76.194885,0,0.364,Not Significant
119,87.106934,2,0.046,High-High
120,92.371712,0,0.002,High-Low
121,96.475006,2,0.424,Not Significant
122,98.74202,0,0.002,High-Low
123,79.588074,1,0.598,Not Significant
124,65.217163,0,0.044,Low-Low
125,99.156212,3,0.022,High-High
126,68.486488,2,0.362,Not Significant
127,92.436661,2,0.502,Not Significant
128,66.823578,0,0.056,Low-Low
129,71.366783,0,0.082,Low-Low
130,86.968498,1,0.114,Not Significant
131,84.763748,1,0.126,Not Significant
132,100,11,0.002,High-High
133,63.463928,1,0.074,Low-Low
134,73.306366,2,0.32,Not Significant
135,89.197571,1,0.048,High-Low
136,47.144897,1,0.03,Low-Low
137,68.242111,0,0.024,Low-Low
138,62.843193,0,0.03,Low-Low
139,66.360947,3,0.004,Low-High
140,67.604347,1,0.238,Not Significant
141,88.935326,0,0.016,High-Low
142,68.939133,0,0.056,Low-Low
143,83.606995,1,0.224,Not Significant
144,75.580658,0,0.312,Not Significant
145,92.334236,0,0.002,High-Low
146,100,11,0.002,High-High
147,86.010269,0,0.008,High-Low
148,90.758385,0,0.002,High-Low
149,100,16,0.002,High-High
150,99.998764,19,0.002,High-High
151,79.517067,3,0.834,Not Significant
152,72.306206,0,0.096,Low-Low
153,80.182419,2,0.566,Not Significant
154,75.645721,0,0.344,Not Significant
155,91.008331,2,0.556,Not Significant
156,64.610344,0,0.024,Low-Low
157,88.326088,0,0.002,High-Low
158,77.038765,0,0.684,Not Significant
159,54.947945,0,0.006,Low-Low
160,87.691696,0,0.002,High-Low
161,75.566925,0,0.476,Not Significant
162,66.195953,0,0.026,Low-Low
163,68.528229,0,0.074,Low-Low
164,54.890102,0,0.006,Low-Low
165,74.169594,1,0.502,Not Significant
166,99.988701,11,0.002,High-High
167,68.129692,0,0.048,Low-Low
168,85.548149,0,0.002,High-Low
169,70.352142,1,0.392,Not Significant
170,68.624908,0,0.046,Low-Low
171,88.092911,0,0.006,High-Low
172,65.611389,0,0.034,Low-Low
173,63.565971,1,0.098,Low-Low
174,72.803436,0,0.116,Not Significant
175,66.288857,1,0.254,Not Significant
176,99.004082,1,0.002,High-Low
177,69.903183,0,0.064,Low-Low
178,78.673378,0,0.568,Not Significant
179,61.414307,1,0.128,Not Significant
180,68.774307,0,0.052,Low-Low
181,65.386261,0,0.028,Low-Low
182,69.520966,0,0.066,Low-Low
183,77.79847,0,0.812,Not Significant
184,82.814568,1,0.182,Not Significant
185,92.635925,0,0.002,High-Low
186,89.129578,0,0.002,High-Low
187,84.937729,0,0.016,High-Low
188,63.094734,0,0.054,Low-Low
189,60.880779,0,0.024,Low-Low
190,95.122581,0,0.002,High-Low
191,78.350693,0,0.696,Not Significant
192,84.20237,0,0.052,High-Low
193,63.924156,0,0.07,Low-Low
194,84.377792,0,0.032,High-Low
195,99.312714,11,0.002,High-High
196,88.334587,2,0.686,Not Significant
197,87.947929,0,0.002,High-Low
198,70.261589,0,0.1,Low-Low
199,91.161751,1,0.006,High-Low
200,63.704414,1,0.102,Not Significant
201,71.242676,0,0.178,Not Significant
202,59.036255,1,0.096,Low-Low
203,65.05986,0,0.032,Low-Low
204,65.081848,0,0.06,Low-Low
205,100,12,0.002,High-High
206,76.486496,0,0.296,Not Significant
207,86.319977,2,0.614,Not Significant
208,89.753906,0,0.004,High-Low
209,79.926094,2,0.754,Not Significant
210,64.290222,0,0.042,Low-Low
211,81.175163,1,0.946,Not Significant
212,91.202744,0,0.002,High-Low
213,73.883743,0,0.274,Not Significant
214,84.994034,2,0.884,Not Significant
215,80.771538,0,0.23,Not Significant
216,73.647858,0,0.126,Not Significant
217,73.399391,0,0.156,Not Significant
218,59.884556,1,0.03,Low-Low
219,79.180496,0,0.82,Not Significant
220,94.657715,2,0.656,Not Significant
221,85.555283,0,0.002,High-Low
222,74.595749,0,0.308,Not Significant
223,63.778919,0,0.014,Low-Low
224,98.647827,0,0.002,High-Low
225,91.65641,0,0.004,High-Low
226,85.581863,1,0.064,High-Low
227,73.449097,1,0.538,Not Significant
228,86.155159,2,0.258,Not Significant
229,73.816765,0,0.18,Not Significant
230,69.502945,3,0.006,Low-High
231,90.128052,0,0.004,High-Low
232,70.973099,0,0.122,Not Significant
233,81.978218,1,0.374,Not Significant
234,73.505219,0,0.208,Not Significant
235,57.451244,1,0.1,Low-Low
236,90.587128,3,0.004,High-High
237,57.310493,0,0.006,Low-Low
238,82.970802,2,0.852,Not Significant
239,58.803436,0,0.01,Low-Low
240,70.040207,1,0.388,Not Significant
241,70.734734,1,0.37,Not Significant
242,79.341599,0,0.63,Not Significant
243,71.859276,0,0.098,Low-Low
244,86.149956,0,0.008,High-Low
245,85.077148,0,0.052,High-Low
246,75.18013,2,0.742,Not Significant
247,76.83165,0,0.348,Not Significant
248,100,11,0.002,High-High
249,71.581528,0,0.07,Low-Low
250,84.322968,0,0.02,High-Low
251,86.665268,0,0.008,High-Low
252,72.00222,2,0.736,Not Significant
253,90.23571,1,0.08,High-Low
254,97.396492,12,0.002,High-High
255,51.858582,0,0.002,Low-Low
256,62.467072,1,0.14,Not Significant
