centroidid,wealthscorecont,HHID,WQ1,WQ2,WQ3,WQ4,WQ5,WQ1prop,PovertyWQ4
MW2000001,-.0080275834,29,0,6,8,12,3,0,29
MW2000002,-.61791849,27,12,5,8,1,1,44.439999,15
MW2000003,.040577777,18,1,4,3,8,2,5.5599999,17
MW2000004,-.79759657,29,18,9,2,0,0,62.07,11
MW2000005,-.46370605,33,5,16,4,8,0,15.15,28
MW2000006,.88398844,26,0,2,1,7,16,0,26
MW2000007,1.2842069,29,0,0,3,4,22,0,29
MW2000008,-.52291429,21,7,6,3,5,0,33.330002,14
MW2000009,-.29383498,20,4,4,6,6,0,20,16
MW2000010,-.50061113,27,13,4,3,5,2,48.150002,14
MW2000011,.72321427,35,0,0,0,18,17,0,35
MW2000012,-.5380742,31,9,7,12,3,0,29.030001,22
MW2000013,-.37537274,22,3,7,7,4,1,13.64,19
MW2000014,-.50393331,30,13,5,6,4,2,43.330002,17
MW2000015,-.0075346166,26,4,3,7,8,4,15.38,22
MW2000016,1.5585667,30,0,0,0,1,29,0,30
MW2000017,-.61194319,44,16,14,8,6,0,36.360001,28
MW2000018,-.13182069,29,8,4,6,6,5,27.59,21
MW2000019,-.220612,25,7,6,2,5,5,28,18
MW2000020,-.65900999,30,15,7,2,6,0,50,15
MW2000021,-.48989707,34,9,12,7,5,1,26.469999,25
MW2000022,-.044529025,31,5,5,6,11,4,16.129999,26
MW2000024,-.20239259,27,7,0,10,7,3,25.93,20
MW2000025,-.81426001,35,20,12,3,0,0,57.139999,15
MW2000026,-.45425805,31,8,11,5,6,1,25.809999,23
MW2000027,-.72077405,27,14,8,3,2,0,51.849998,13
MW2000028,.089188889,18,1,3,5,4,5,5.5599999,17
MW2000029,-.32422334,30,11,4,3,8,4,36.669998,19
MW2000030,-.80918574,28,16,10,2,0,0,57.139999,12
MW2000031,.24690571,35,0,4,8,13,10,0,35
MW2000032,.036907692,39,1,4,10,20,4,2.5599999,38
MW2000033,-.35569999,32,3,6,17,4,2,9.3800001,29
MW2000034,1.2881743,35,0,0,0,7,28,0,35
MW2000035,-.16971852,27,3,8,7,5,4,11.11,24
MW2000036,-.42783999,25,7,7,5,4,2,28,18
MW2000037,-.47807333,30,7,12,6,4,1,23.33,23
MW2000038,-.12823635,44,1,7,18,15,3,2.27,43
MW2000039,-.2985743,35,6,11,9,5,4,17.139999,29
MW2000040,-.56989998,22,5,9,5,3,0,22.73,17
MW2000041,1.457636,25,0,0,1,2,22,0,25
MW2000042,-.40391666,30,6,3,16,5,0,20,24
MW2000043,1.0289484,33,0,0,0,7,26,0,33
MW2000044,-.28495356,28,4,10,7,4,3,14.29,24
MW2000045,-.59427333,30,17,6,4,1,2,56.669998,13
MW2000046,-.43764687,32,11,8,6,5,2,34.380001,21
MW2000047,-.66084856,35,16,11,5,3,0,45.709999,19
MW2000048,-.50551784,28,9,10,6,2,1,32.139999,19
MW2000049,-.49689332,30,8,8,9,5,0,26.67,22
MW2000050,-.66278464,26,14,4,7,1,0,53.849998,12
MW2000051,-.29203549,31,2,7,11,11,0,6.4499998,29
MW2000052,-.43663332,39,9,10,11,9,0,23.08,30
MW2000053,-.70696127,31,13,12,4,2,0,41.939999,18
MW2000054,1.009441,61,2,1,3,16,39,3.28,59
MW2000055,-.66464514,31,14,6,10,1,0,45.16,17
MW2000056,-.53420395,51,18,11,12,10,0,35.290001,33
MW2000057,-.6483565,23,10,8,3,1,1,43.48,13
MW2000058,-.38185173,29,8,2,12,6,1,27.59,21
MW2000059,1.3459858,28,0,0,1,5,22,0,28
