centroidid,ID_1,NAME_1,longitude,latitude
MW2000085,1,Balaka,35.25332641,-14.92025722
MW2000094,1,Balaka,35.08865428,-15.02860558
MW2000145,1,Balaka,35.05199023,-15.10658957
MW2000153,1,Balaka,35.12555395,-15.03507799
MW2000164,1,Balaka,34.94410836,-15.02964366
MW2000167,1,Balaka,35.0879701,-15.27154869
MW2000178,1,Balaka,35.12264525,-14.92055488
MW2000263,1,Balaka,35.23022881,-15.01016542
MW2000314,1,Balaka,34.95525755,-15.04736333
MW2000332,1,Balaka,35.07704519,-14.8478198
MW2000350,1,Balaka,34.96802068,-14.99499887
MW2000404,1,Balaka,35.05798378,-14.95719367
MW2000426,1,Balaka,34.98205276,-14.9537529
MW2000003,2,Blantyre,35.08381451,-15.87495861
MW2000022,2,Blantyre,34.95207548,-15.40614863
MW2000024,2,Blantyre,34.92065171,-15.69766789
MW2000041,2,Blantyre,35.03679309,-15.77580083
MW2000043,2,Blantyre,35.10550541,-15.80766244
MW2000059,2,Blantyre,35.07866593,-15.73172239
MW2000060,2,Blantyre,35.03803247,-15.84372304
MW2000066,2,Blantyre,35.10163002,-15.58538745
MW2000078,2,Blantyre,35.01424634,-15.81695154
MW2000079,2,Blantyre,35.07604284,-15.84123334
MW2000082,2,Blantyre,35.01452128,-15.84950772
MW2000105,2,Blantyre,34.94331995,-15.91857684
MW2000113,2,Blantyre,34.98072542,-15.78017329
MW2000117,2,Blantyre,34.96892998,-15.60498558
MW2000138,2,Blantyre,34.9825095,-15.7580565
MW2000152,2,Blantyre,35.03196641,-15.76560214
MW2000168,2,Blantyre,35.0187453,-15.75097561
MW2000182,2,Blantyre,35.04172439,-15.77379835
MW2000183,2,Blantyre,35.00562464,-15.8448261
MW2000198,2,Blantyre,35.04708476,-15.83831042
MW2000200,2,Blantyre,35.07106267,-15.77167011
MW2000203,2,Blantyre,35.00375513,-15.75533443
MW2000227,2,Blantyre,34.99272716,-15.79533838
MW2000231,2,Blantyre,35.01937474,-15.58083867
MW2000239,2,Blantyre,35.03777908,-15.72951906
MW2000258,2,Blantyre,35.01643273,-15.72791069
MW2000266,2,Blantyre,35.07245134,-15.82279868
